"","Short_label","Longer_name","Sample_type","Num_larvae","Date_collected","Exp_day","Mesocosm_id","Mesocosm_treatment","Microbe_treatment","Food_type","Mesocosm_type","Treatment_notes","Notes","Raw_reads","Num_larvae_d00","Num_larvae_d08","Num_larvae_d34","Num_larvae_d40","Total_pupae","Proportion_pupated","Biomass_day30","Biomass_day40","lib_size_clean","is.neg"
"WB37","WB37","W_D20_B_larvae","Water",NA,"7/12/23",20,"B_larvae","B_larvae","None_larvae","Bamboo","Additional control","Larvae & food only","",70004,20,12,11,2,1,0.05,0.197,0.197,58676,FALSE
"WB38","WB38","W_D20_B_food","Water",NA,"7/12/23",20,"B_food","B_food","None_food","Bamboo","Additional control","Food only","",91154,NA,NA,NA,NA,NA,NA,NA,NA,75147,FALSE
"WB4","WB4","W_D5_B_food","Water",NA,"6/27/23",5,"B_food","B_food","None_food","Bamboo","Additional control","Food only","",83833,NA,NA,NA,NA,NA,NA,NA,NA,76028,FALSE
"WB40","WB40","W_D20_B_AHK.1","Water",NA,"7/12/23",20,"B_AHK.1","B_AHK","AHK","Bamboo","Experiment","All heat-killed microbes","",45843,20,14,11,4,0,0,0,0,38094,FALSE
"WB41","WB41","W_D20_B_MMO.1","Water",NA,"7/12/23",20,"B_MMO.1","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",90585,20,16,8,5,4,0.2,0.288,0.538,63795,FALSE
"WB42","WB42","W_D20_B_MMO.2","Water",NA,"7/12/23",20,"B_MMO.2","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",142302,20,17,4,4,0,0,0,0,101905,FALSE
"WB43","WB43","W_D20_B_MMO.3","Water",NA,"7/12/23",20,"B_MMO.3","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",142075,20,10,0,0,11,0.55,3.737,3.737,115552,FALSE
"WB44","WB44","W_D20_B_MMO.4","Water",NA,"7/12/23",20,"B_MMO.4","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",141822,20,10,2,2,10,0.5,1.06,2.612,99262,FALSE
"WB45","WB45","W_D20_B_MMO.5","Water",NA,"7/12/23",20,"B_MMO.5","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",120582,20,14,6,5,3,0.15,0.304,0.468,91958,FALSE
"WB46","WB46","W_D20_B_MMO+","Water",NA,"7/12/23",20,"B_MMO+","B_MMO+","MMO","Bamboo","Additional control","No larvae - mosquito microbes","",136799,NA,NA,NA,NA,NA,NA,NA,NA,93041,FALSE
"WB47","WB47","W_D20_B_EMO.1","Water",NA,"7/12/23",20,"B_EMO.1","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",114290,20,20,12,1,15,0.75,0.401,3.949,89773,FALSE
