Short_label,Longer_name,Sample_type,Num_larvae,Date_collected,Exp_day,Mesocosm_id,Mesocosm_treatment,Microbe_treatment,Food_type,Mesocosm_type,Treatment_notes,Num_larvae_d00,Num_larvae_d08,Num_larvae_d34,Num_larvae_d40,Total_pupae,Proportion_pupated,Biomass_day30,Biomass_day40,16S_raw_reads,SSU_raw_reads,metagenomes,MG_raw_reads,Notes
LL16,L_D8_L_ECO.4,Larvae,5,6/30/23,8,L_ECO.4,L_ECO,ECO,Larval food,Experiment,E. coli only,20,7,0,0,9,0.45,5.967,5.967,60309,94877,no,NA,
LL17,L_D8_L_ECO.5,Larvae,5,6/30/23,8,L_ECO.5,L_ECO,ECO,Larval food,Experiment,E. coli only,20,6,0,0,7,0.35,3.053,3.053,54799,25234,no,NA,
LL8,L_D8_L_EMO.1,Larvae,5,6/30/23,8,L_EMO.1,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,20,7,0,0,5,0.25,2.51,2.51,101732,718,yes,,
LL9,L_D8_L_EMO.2,Larvae,5,6/30/23,8,L_EMO.2,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,20,7,0,0,7,0.35,6.057,6.057,111660,51573,yes,,
LL10,L_D8_L_EMO.3,Larvae,5,6/30/23,8,L_EMO.3,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,20,12,0,0,12,0.6,10.172,10.172,55881,1040,no,NA,
LL11,L_D8_L_EMO.4,Larvae,5,6/30/23,8,L_EMO.4,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,20,11,0,0,11,0.55,8.412,8.412,59663,3142,yes,,
LL12,L_D8_L_EMO.5,Larvae,5,6/30/23,8,L_EMO.5,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,20,7,0,0,15,0.75,11.365,11.365,39221,169,yes,,
LL1,L_D8_L_larvae,Larvae,5,6/30/23,8,L_larvae,L_larvae,None_larvae,Larval food,Additional control,Larvae & food only,20,4,0,0,9,0.45,7.414,7.414,29615,91,no,NA,
LL18,L_D8_L_MEM.1,Larvae,5,6/30/23,8,L_MEM.1,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,20,6,0,0,6,0.3,4.731,4.731,87019,596,yes,,
LL19,L_D8_L_MEM.2,Larvae,4,6/30/23,8,L_MEM.2,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,20,0,0,0,0,0,0,0,91113,294,yes,,
LL20,L_D8_L_MEM.3,Larvae,5,6/30/23,8,L_MEM.3,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,20,7,0,0,8,0.4,6.392,6.392,54597,4825,no,NA,
LL21,L_D8_L_MEM.4,Larvae,2,6/30/23,8,L_MEM.4,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,20,1,0,0,1,0.05,1.039,1.039,54577,70609,yes,,
LL22,L_D8_L_MEM.5,Larvae,5,6/30/23,8,L_MEM.5,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,20,8,0,0,7,0.35,4.84,4.84,50438,7730,yes,,
LL3,L_D8_L_MMO.1,Larvae,5,6/30/23,8,L_MMO.1,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,20,5,0,0,18,0.9,13.798,13.798,101981,9295,yes,,
LL4,L_D8_L_MMO.2,Larvae,5,6/30/23,8,L_MMO.2,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,20,1,0,0,18,0.9,12.621,12.621,83175,1799,no,NA,
LL5,L_D8_L_MMO.3,Larvae,5,6/30/23,8,L_MMO.3,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,20,5,0,0,17,0.85,13.026,13.026,44031,1333,yes,,
LL6,L_D8_L_MMO.4,Larvae,5,6/30/23,8,L_MMO.4,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,20,6,0,0,22,1.1,18.46,18.46,90456,4201,yes,,
LL7,L_D8_L_MMO.5,Larvae,5,6/30/23,8,L_MMO.5,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,20,5,0,0,10,0.5,7.375,7.375,47330,828,yes,,
WB40,W_D20_B_AHK.1,Water,,7/12/23,20,B_AHK.1,B_AHK,AHK,Bamboo,Experiment,All heat-killed microbes,20,14,11,4,0,0,0,0,45843,58494,no,NA,
WB39,W_D20_B_AHK+,Water,,7/12/23,20,B_AHK+,B_AHK+,AHK,Bamboo,Additional control,No larvae - all heat-killed microbes,,,,,,,,,61698,38417,no,NA,
WB65,W_D20_B_ALL.1,Water,,7/12/23,20,B_ALL.1,B_ALL,ALL,Bamboo,Experiment,All live microbes,20,11,0,0,12,0.6,4.096,4.096,164239,62872,no,NA,
