,LB10,LB11,LB12,LB18,LB19,LB20,LB21,LB22,LB3,LB4,LB5,LB7,LB9,LL11,LL12,LL18,LL19,LL21,LL22,LL3,LL5,LL6,LL7,LL8,LL9,WB11,WB14,WB15,WB16,WB17,WB25,WB27,WB29,WB7,WB8,WB9,WL11,WL12,WL14,WL15,WL23,WL24,WL26,WL27,WL5,WL7,WL8,WL9
K03503,0,0,0,28,39,278,0,47,61,0,335,33,3,0,0,180,311,63,16,195,0,6,56,22,0,4161,2603,3310,2653,2652,5820,3758,3819,4398,6511,2395,4890,5327,4370,4294,5559,5199,6675,5724,6573,7621,5874,5173
K03511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,15,0,0,0,45,0,0,0,0,0,0,14,0,0,0,121,0,0,0,0
K03515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K03516,42,36,47,150,86,135,16,176,136,149,125,415,0,0,18,39,77,11,57,45,71,49,12,79,0,631,38,26,88,10,10,0,16,447,1264,221,144,260,176,101,433,279,257,250,226,233,419,614
K03517,2266,2092,1866,1055,3487,3074,735,754,2235,1672,1264,3414,825,110,40,2267,3067,196,561,596,205,196,77,472,594,9713,4647,6125,4978,5475,8076,5658,7512,8641,9438,5238,9305,9641,7336,8283,10447,8441,10664,8046,9247,9850,8745,8786
K03518,509,487,556,1388,1649,1132,371,514,3640,1590,2060,3453,350,162,44,147,432,129,82,64,116,69,10,319,144,1162,280,644,266,410,384,317,1388,1144,1149,418,966,1333,649,1149,1603,1262,1463,812,1017,1115,1042,1811
K03519,1004,366,486,1279,1927,723,359,408,3908,1779,1532,3911,113,141,56,57,273,133,16,26,0,0,0,233,156,736,486,1343,284,596,651,610,2238,726,520,380,1048,1282,767,876,1606,1216,1336,639,1009,958,1180,1481
K03520,1268,1430,1379,4373,6204,3200,1214,1803,17152,7494,7009,16648,565,521,177,268,449,539,36,74,0,0,0,746,426,2070,1015,1905,800,1542,1559,1080,3101,2510,2353,1344,3011,4281,2938,2071,6349,3338,3744,2415,6562,6123,6288,8363
K03521,3006,2213,2504,2404,5994,4013,1388,1280,2072,1820,1468,4334,987,262,71,3692,4950,449,712,955,202,251,156,717,957,15454,7382,8518,6744,7438,10102,7390,13444,13632,12997,8189,10864,13235,10167,9735,15079,10431,13379,9541,17623,17511,16166,16044
K03522,3270,2636,2885,2980,6694,4827,1534,1581,2699,2191,1779,4773,987,310,47,4772,6056,527,894,1145,260,279,137,902,1062,18420,8556,10242,8208,8780,12368,9404,15537,16082,15762,9917,12962,15823,12319,11847,18123,12860,16098,11546,21445,20411,19395,19449
K03523,3461,2489,2408,1319,5393,3902,1031,759,281,390,678,812,933,77,11,61,223,35,0,12,0,24,0,90,66,232,147,115,201,148,110,22,329,196,169,149,165,226,203,201,319,181,270,114,157,246,12,79
